2025-11-19 13:53:33 - 8_0.4_1 - INFO - ================================================
2025-11-19 13:53:33 - 8_0.4_1 - INFO - 日志文件已创建: logs/cifar-100/fedotp/8_0.4_1_20251119_135333.log
2025-11-19 13:53:33 - 8_0.4_1 - INFO - ================================================
2025-11-19 13:53:33 - 8_0.4_1 - INFO - 
2025-11-19 13:53:33 - 8_0.4_1 - INFO - ======================================================================
2025-11-19 13:53:33 - 8_0.4_1 - INFO - 📋 实验配置摘要
2025-11-19 13:53:33 - 8_0.4_1 - INFO - ======================================================================
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   Task ID:      [37/60]
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   数据集:       cifar-100
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   模型方法:     fedotp
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   Rank:         8
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   噪声级别:     0.4
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   随机种子:     1
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   客户端数量:   50
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   数据划分:     noniid-labeldir
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   训练轮次:     30
2025-11-19 13:53:33 - 8_0.4_1 - INFO - ======================================================================
2025-11-19 13:53:33 - 8_0.4_1 - INFO - 
2025-11-19 13:53:33 - 8_0.4_1 - INFO - Loading trainer: DP_FPL
2025-11-19 13:53:33 - 8_0.4_1 - INFO - Loading dataset: Cifar100
2025-11-19 13:53:34 - 8_0.4_1 - INFO - Loading CLIP (backbone: ViT-B/16)
2025-11-19 13:53:36 - 8_0.4_1 - INFO - Building custom CLIP
2025-11-19 13:53:36 - 8_0.4_1 - INFO - Turning off gradients in both the image and the text encoder
2025-11-19 13:54:20 - 8_0.4_1 - INFO - [Epoch 1/30] 训练耗时: 43.20s | 平均训练准确率: 34.12
2025-11-19 13:55:02 - 8_0.4_1 - INFO - [Epoch 2/30] 训练耗时: 42.00s | 平均训练准确率: 57.30
2025-11-19 13:55:44 - 8_0.4_1 - INFO - [Epoch 3/30] 训练耗时: 42.49s | 平均训练准确率: 65.84
2025-11-19 13:56:26 - 8_0.4_1 - INFO - [Epoch 4/30] 训练耗时: 41.88s | 平均训练准确率: 66.14
2025-11-19 13:57:08 - 8_0.4_1 - INFO - [Epoch 5/30] 训练耗时: 41.42s | 平均训练准确率: 66.62
2025-11-19 13:57:50 - 8_0.4_1 - INFO - [Epoch 6/30] 训练耗时: 41.85s | 平均训练准确率: 66.80
2025-11-19 13:58:32 - 8_0.4_1 - INFO - [Epoch 7/30] 训练耗时: 42.88s | 平均训练准确率: 67.39
2025-11-19 13:59:14 - 8_0.4_1 - INFO - [Epoch 8/30] 训练耗时: 41.78s | 平均训练准确率: 66.69
2025-11-19 13:59:56 - 8_0.4_1 - INFO - [Epoch 9/30] 训练耗时: 42.02s | 平均训练准确率: 67.16
2025-11-19 14:00:38 - 8_0.4_1 - INFO - [Epoch 10/30] 训练耗时: 41.79s | 平均训练准确率: 67.55
2025-11-19 14:01:20 - 8_0.4_1 - INFO - [Epoch 11/30] 训练耗时: 42.14s | 平均训练准确率: 66.97
2025-11-19 14:02:03 - 8_0.4_1 - INFO - [Epoch 12/30] 训练耗时: 42.80s | 平均训练准确率: 66.75
2025-11-19 14:02:45 - 8_0.4_1 - INFO - [Epoch 13/30] 训练耗时: 42.51s | 平均训练准确率: 66.73
2025-11-19 14:03:28 - 8_0.4_1 - INFO - [Epoch 14/30] 训练耗时: 42.18s | 平均训练准确率: 67.45
2025-11-19 14:04:10 - 8_0.4_1 - INFO - [Epoch 15/30] 训练耗时: 42.43s | 平均训练准确率: 67.61
2025-11-19 14:04:52 - 8_0.4_1 - INFO - [Epoch 16/30] 训练耗时: 42.26s | 平均训练准确率: 67.77
2025-11-19 14:05:34 - 8_0.4_1 - INFO - [Epoch 17/30] 训练耗时: 41.95s | 平均训练准确率: 68.05
2025-11-19 14:06:17 - 8_0.4_1 - INFO - [Epoch 18/30] 训练耗时: 42.55s | 平均训练准确率: 68.55
2025-11-19 14:06:59 - 8_0.4_1 - INFO - [Epoch 19/30] 训练耗时: 42.45s | 平均训练准确率: 68.12
2025-11-19 14:07:42 - 8_0.4_1 - INFO - [Epoch 20/30] 训练耗时: 42.34s | 平均训练准确率: 68.42
2025-11-19 14:08:24 - 8_0.4_1 - INFO - [Epoch 21/30] 训练耗时: 42.55s | 平均训练准确率: 68.45
2025-11-19 14:09:06 - 8_0.4_1 - INFO - [Epoch 22/30] 训练耗时: 42.02s | 平均训练准确率: 68.05
2025-11-19 14:09:48 - 8_0.4_1 - INFO - [Epoch 23/30] 训练耗时: 42.31s | 平均训练准确率: 68.34
2025-11-19 14:10:31 - 8_0.4_1 - INFO - [Epoch 24/30] 训练耗时: 42.24s | 平均训练准确率: 68.20
2025-11-19 14:11:13 - 8_0.4_1 - INFO - [Epoch 25/30] 训练耗时: 42.14s | 平均训练准确率: 68.67
2025-11-19 14:11:55 - 8_0.4_1 - INFO - [Epoch 26/30] 训练耗时: 42.14s | 平均训练准确率: 68.47
2025-11-19 14:12:37 - 8_0.4_1 - INFO - [Epoch 27/30] 训练耗时: 41.98s | 平均训练准确率: 68.66
2025-11-19 14:13:21 - 8_0.4_1 - INFO - [Epoch 28/30] 训练耗时: 43.58s | 平均训练准确率: 67.34
2025-11-19 14:13:21 - 8_0.4_1 - INFO - 
2025-11-19 14:13:21 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:13:21 - 8_0.4_1 - INFO -                     TEST START - Epoch 28/30
2025-11-19 14:13:21 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:13:21 - 8_0.4_1 - INFO - 
2025-11-19 14:19:22 - 8_0.4_1 - INFO - 
================= Local Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
2025-11-19 14:19:22 - 8_0.4_1 - INFO - 
2025-11-19 14:20:04 - 8_0.4_1 - INFO - [Epoch 29/30] 训练耗时: 41.77s | 平均训练准确率: 67.78
2025-11-19 14:20:04 - 8_0.4_1 - INFO - 
2025-11-19 14:20:04 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:20:04 - 8_0.4_1 - INFO -                     TEST START - Epoch 29/30
2025-11-19 14:20:04 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:20:04 - 8_0.4_1 - INFO - 
2025-11-19 14:25:58 - 8_0.4_1 - INFO - 
================= Local Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
+-----------+----------+------------+----------+
| Client 0  |    70.00 |      30.00 |    64.58 |
| Client 1  |    84.21 |      15.79 |    80.00 |
| Client 2  |    67.57 |      32.43 |    73.68 |
| Client 3  |    70.59 |      29.41 |    66.00 |
| Client 4  |    68.57 |      31.43 |    63.14 |
| Client 5  |    75.00 |      25.00 |    78.92 |
| Client 6  |    70.00 |      30.00 |    66.92 |
| Client 7  |    69.05 |      30.95 |    64.97 |
| Client 8  |    70.45 |      29.55 |    64.44 |
| Client 9  |    75.00 |      25.00 |    73.15 |
| Client 10 |    73.91 |      26.09 |    69.91 |
| Client 11 |    87.50 |      12.50 |    89.74 |
| Client 12 |    68.09 |      31.91 |    71.63 |
| Client 13 |    68.57 |      31.43 |    60.97 |
| Client 14 |    76.00 |      24.00 |    75.83 |
| Client 15 |    60.00 |      40.00 |    53.12 |
| Client 16 |    65.85 |      34.15 |    59.33 |
| Client 17 |    63.64 |      36.36 |    65.77 |
| Client 18 |    63.41 |      36.59 |    63.66 |
| Client 19 |    65.91 |      34.09 |    66.67 |
| Client 20 |    71.43 |      28.57 |    70.15 |
| Client 21 |    74.36 |      25.64 |    69.14 |
| Client 22 |    72.09 |      27.91 |    65.89 |
| Client 23 |    66.67 |      33.33 |    65.60 |
| Client 24 |    71.11 |      28.89 |    70.25 |
| Client 25 |    58.33 |      41.67 |    56.89 |
| Client 26 |    65.31 |      34.69 |    66.13 |
| Client 27 |    65.12 |      34.88 |    60.26 |
| Client 28 |    72.22 |      27.78 |    74.08 |
| Client 29 |    65.85 |      34.15 |    64.60 |
| Client 30 |    76.19 |      23.81 |    74.05 |
| Client 31 |    74.42 |      25.58 |    72.18 |
| Client 32 |    66.67 |      33.33 |    72.67 |
| Client 33 |    70.73 |      29.27 |    73.33 |
| Client 34 |    66.67 |      33.33 |    59.62 |
| Client 35 |    69.77 |      30.23 |    72.34 |
| Client 36 |    68.42 |      31.58 |    73.43 |
| Client 37 |    65.71 |      34.29 |    74.39 |
| Client 38 |    76.09 |      23.91 |    72.53 |
| Client 39 |    57.50 |      42.50 |    60.16 |
| Client 40 |    73.68 |      26.32 |    70.79 |
| Client 41 |    59.52 |      40.48 |    54.68 |
| Client 42 |    80.43 |      19.57 |    77.30 |
| Client 43 |    80.56 |      19.44 |    82.50 |
| Client 44 |    61.90 |      38.10 |    56.03 |
| Client 45 |    54.84 |      45.16 |    58.26 |
| Client 46 |    71.43 |      28.57 |    66.76 |
| Client 47 |    67.74 |      32.26 |    69.00 |
| Client 48 |    58.33 |      41.67 |    52.23 |
| Client 49 |    71.13 |      28.87 |    68.59 |
| Average   |    69.35 |      30.65 |    67.92 |
+-----------+----------+------------+----------+

2025-11-19 14:25:58 - 8_0.4_1 - INFO - 
================= Neighbor Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
+-----------+----------+------------+----------+
| Client 0  |    69.44 |      30.56 |    68.86 |
| Client 1  |    69.31 |      30.69 |    68.81 |
| Client 2  |    69.33 |      30.67 |    68.68 |
| Client 3  |    69.07 |      30.93 |    68.50 |
| Client 4  |    69.11 |      30.89 |    68.53 |
| Client 5  |    68.93 |      31.07 |    68.33 |
| Client 6  |    69.03 |      30.97 |    68.55 |
| Client 7  |    69.00 |      31.00 |    68.38 |
| Client 8  |    68.87 |      31.13 |    68.23 |
| Client 9  |    68.89 |      31.11 |    68.31 |
| Client 10 |    68.88 |      31.12 |    68.36 |
| Client 11 |    68.72 |      31.28 |    68.25 |
| Client 12 |    69.12 |      30.88 |    68.45 |
| Client 13 |    69.16 |      30.84 |    68.60 |
| Client 14 |    69.11 |      30.89 |    68.63 |
| Client 15 |    69.34 |      30.66 |    68.75 |
| Client 16 |    69.27 |      30.73 |    68.64 |
| Client 17 |    69.43 |      30.57 |    68.93 |
| Client 18 |    69.42 |      30.58 |    68.92 |
| Client 19 |    69.43 |      30.57 |    68.73 |
| Client 20 |    69.20 |      30.80 |    68.71 |
| Client 21 |    69.10 |      30.90 |    68.49 |
| Client 22 |    69.09 |      30.91 |    68.51 |
| Client 23 |    69.20 |      30.80 |    68.72 |
| Client 24 |    69.05 |      30.95 |    68.56 |
| Client 25 |    69.25 |      30.75 |    68.73 |
| Client 26 |    69.20 |      30.80 |    68.38 |
| Client 27 |    69.19 |      30.81 |    68.70 |
| Client 28 |    69.09 |      30.91 |    68.47 |
| Client 29 |    69.17 |      30.83 |    68.57 |
| Client 30 |    69.05 |      30.95 |    68.45 |
| Client 31 |    69.09 |      30.91 |    68.55 |
| Client 32 |    69.35 |      30.65 |    68.79 |
| Client 33 |    69.27 |      30.73 |    68.57 |
| Client 34 |    69.35 |      30.65 |    68.74 |
| Client 35 |    69.29 |      30.71 |    68.71 |
| Client 36 |    69.32 |      30.68 |    68.67 |
| Client 37 |    69.36 |      30.64 |    68.73 |
| Client 38 |    69.14 |      30.86 |    68.50 |
| Client 39 |    69.54 |      30.46 |    68.78 |
| Client 40 |    69.16 |      30.84 |    68.62 |
| Client 41 |    69.46 |      30.54 |    68.73 |
| Client 42 |    68.99 |      31.01 |    68.43 |
| Client 43 |    69.04 |      30.96 |    68.52 |
| Client 44 |    69.31 |      30.69 |    68.62 |
| Client 45 |    69.43 |      30.57 |    68.76 |
| Client 46 |    69.26 |      30.74 |    68.56 |
| Client 47 |    69.32 |      30.68 |    68.65 |
| Client 48 |    69.50 |      30.50 |    68.89 |
| Client 49 |    69.21 |      30.79 |    68.57 |
| Average   |    69.20 |      30.80 |    68.60 |
+-----------+----------+------------+----------+

2025-11-19 14:25:58 - 8_0.4_1 - INFO - 
2025-11-19 14:25:58 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:25:58 - 8_0.4_1 - INFO -                     TEST FINISH - Epoch 29/30
2025-11-19 14:25:58 - 8_0.4_1 - INFO -                     测试耗时: 354.49s
2025-11-19 14:25:58 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:25:58 - 8_0.4_1 - INFO - 
2025-11-19 14:26:40 - 8_0.4_1 - INFO - [Epoch 30/30] 训练耗时: 41.72s | 平均训练准确率: 67.88
2025-11-19 14:26:40 - 8_0.4_1 - INFO - 
2025-11-19 14:26:40 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:26:40 - 8_0.4_1 - INFO -                     TEST START - Epoch 30/30
2025-11-19 14:26:40 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:26:40 - 8_0.4_1 - INFO - 
2025-11-19 14:32:49 - 8_0.4_1 - INFO - 
================= Local Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
+-----------+----------+------------+----------+
| Client 0  |    70.00 |      30.00 |    64.58 |
| Client 1  |    84.21 |      15.79 |    80.00 |
| Client 2  |    62.16 |      37.84 |    66.86 |
| Client 3  |    67.65 |      32.35 |    62.67 |
| Client 4  |    68.57 |      31.43 |    63.14 |
| Client 5  |    77.50 |      22.50 |    79.90 |
| Client 6  |    70.00 |      30.00 |    66.92 |
| Client 7  |    66.67 |      33.33 |    62.84 |
| Client 8  |    68.18 |      31.82 |    63.82 |
| Client 9  |    75.00 |      25.00 |    73.15 |
| Client 10 |    76.09 |      23.91 |    73.61 |
| Client 11 |    87.50 |      12.50 |    89.74 |
| Client 12 |    68.09 |      31.91 |    71.63 |
| Client 13 |    68.57 |      31.43 |    60.97 |
| Client 14 |    76.00 |      24.00 |    75.83 |
| Client 15 |    60.00 |      40.00 |    53.12 |
| Client 16 |    65.85 |      34.15 |    59.33 |
| Client 17 |    63.64 |      36.36 |    65.77 |
| Client 18 |    60.98 |      39.02 |    61.51 |
| Client 19 |    63.64 |      36.36 |    66.67 |
| Client 20 |    71.43 |      28.57 |    70.15 |
| Client 21 |    74.36 |      25.64 |    69.14 |
| Client 22 |    72.09 |      27.91 |    65.89 |
| Client 23 |    64.10 |      35.90 |    61.16 |
| Client 24 |    71.11 |      28.89 |    70.72 |
| Client 25 |    61.11 |      38.89 |    58.09 |
| Client 26 |    63.27 |      36.73 |    64.80 |
| Client 27 |    65.12 |      34.88 |    60.26 |
| Client 28 |    72.22 |      27.78 |    74.08 |
| Client 29 |    63.41 |      36.59 |    61.15 |
| Client 30 |    78.57 |      21.43 |    77.62 |
| Client 31 |    74.42 |      25.58 |    72.18 |
| Client 32 |    66.67 |      33.33 |    72.67 |
| Client 33 |    68.29 |      31.71 |    68.21 |
| Client 34 |    66.67 |      33.33 |    59.62 |
| Client 35 |    67.44 |      32.56 |    68.18 |
| Client 36 |    68.42 |      31.58 |    73.43 |
| Client 37 |    65.71 |      34.29 |    72.54 |
| Client 38 |    73.91 |      26.09 |    69.49 |
| Client 39 |    57.50 |      42.50 |    60.42 |
| Client 40 |    73.68 |      26.32 |    70.79 |
| Client 41 |    61.90 |      38.10 |    59.28 |
| Client 42 |    82.61 |      17.39 |    79.76 |
| Client 43 |    80.56 |      19.44 |    82.50 |
| Client 44 |    59.52 |      40.48 |    53.09 |
| Client 45 |    51.61 |      48.39 |    57.10 |
| Client 46 |    71.43 |      28.57 |    66.76 |
| Client 47 |    64.52 |      35.48 |    68.39 |
| Client 48 |    58.33 |      41.67 |    52.94 |
| Client 49 |    72.16 |      27.84 |    70.24 |
| Average   |    68.85 |      31.15 |    67.45 |
+-----------+----------+------------+----------+

